filename,latitude,longitude,altitude,datetime
00244.jpg,47.3843618,8.545194199975553,466.742,N/A
00245.jpg,47.3843618,8.545194199975553,466.742,N/A
00246.jpg,47.3843618,8.545194199975553,466.742,N/A
00247.jpg,47.3843632,8.545195499904048,466.524,N/A
00248.jpg,47.3843632,8.545195499904048,466.524,N/A
00249.jpg,47.3843632,8.545195499904048,466.524,N/A
00250.jpg,47.3843632,8.545195499904048,466.524,N/A
00251.jpg,47.3843632,8.545195499904048,466.524,N/A
00252.jpg,47.3843632,8.545195499904048,466.524,N/A
00253.jpg,47.384363,8.54519540002636,466.561,N/A
00254.jpg,47.384363,8.54519540002636,466.561,N/A
00255.jpg,47.384363,8.54519540002636,466.561,N/A
00256.jpg,47.384363,8.54519540002636,466.561,N/A
00257.jpg,47.384363,8.54519540002636,466.561,N/A
00258.jpg,47.384363,8.54519540002636,466.561,N/A
00259.jpg,47.384362599992954,8.545195700110254,466.728,N/A
00260.jpg,47.384362599992954,8.545195700110254,466.728,N/A
00261.jpg,47.384362599992954,8.545195700110254,466.728,N/A
00262.jpg,47.384362599992954,8.545195700110254,466.728,N/A
00263.jpg,47.384362599992954,8.545195700110254,466.728,N/A
00264.jpg,47.384362599992954,8.545195700110254,466.728,N/A
00265.jpg,47.384362599992954,8.545195499904048,466.69099756690997,N/A
00266.jpg,47.384362599992954,8.545195499904048,466.69099756690997,N/A
00267.jpg,47.384362599992954,8.545195499904048,466.69099756690997,N/A
00268.jpg,47.384362599992954,8.545195499904048,466.69099756690997,N/A
00269.jpg,47.384362599992954,8.545195499904048,466.69099756690997,N/A
00270.jpg,47.384362599992954,8.545195499904048,466.69099756690997,N/A
00271.jpg,47.384362599992954,8.545194899997805,466.695,N/A
00272.jpg,47.384362599992954,8.545194899997805,466.695,N/A
00273.jpg,47.384362599992954,8.545194899997805,466.695,N/A
00274.jpg,47.384362599992954,8.545194899997805,466.695,N/A
00275.jpg,47.384362599992954,8.545194899997805,466.695,N/A
00276.jpg,47.384362599992954,8.545194899997805,466.695,N/A
00277.jpg,47.3843628,8.545194199975553,466.748,N/A
00278.jpg,47.3843628,8.545194199975553,466.748,N/A
00279.jpg,47.3843628,8.545194199975553,466.748,N/A
00280.jpg,47.3843628,8.545194199975553,466.748,N/A
